tweet_text,cyberbullying_type
My high school life got better when I finally snapped and punched my abusive bully: hidd shocked expression and tears made the detention I got more than worth it.,age
"@SecPompeo We did not say ""Let's make the white palace a mosque"", ""Let's open Hagia Sophia for the worship of the Muslims"". +++ we didn't ask you, pompeo. Or against your will understand that the old Turkey, or we (like an idiot teaches) will teach.",religion
What has happened to NYC.. it is not a Muslim stronghold. Have you forgotten 9-11 And who attacked u.s. idiot bush and the muslim Obama nation,religion
The Muslim Brotherhood President of Egypt was removed in 2013 by Obama... You guys are idiots.,religion
To RESTRICT Jihadis-Terrorists CONSPIRING Ghazwa-e-Hind Dar-ul-Harb JIHAD against Hindus-Hindutva-Hindusthan-Humanity&gt; their r RAKSHAK Hindus-Hindusthanis to PROTECT Maa Bharati BUT always backstabbed by Aalsi-Laalchi-Secular-Ignorant-Selfish HINDUS&gt;Before JIHADIS&gt;ELIMINATE them,religion
"Pence is a clear example of radical right wing hypocrisy! Not to mention support of illegal, unethical action by such a so-called Christian!",religion
"You should visit a Muslim country and see how WOKE they are, right before you're beheaded like the 2 British girl idiots who thought vacationing in Morocco was a ""good idea"". Don't be Blonde, err I mean stupid.",religion
"U can't accept Godse is terrorist, but still I'm hypocrite?. There is Islamic terrorism, there's Hindutva terrorism etc. It's there in every religion.U've such a 'big' brain but can't look up what's terrorism. Cause u can't accept the existence of one terrorist in ur community",religion
"Russian Hindus come out in support of @SPJ2020 who is a victim of religious persecution in Russia at the hands of an orthodox christian radical - Alexander Dvorkin. @MEAIndia @narendramodi @TOIIndiaNews @the_hindu @nytimes @Newsweek @RT_com @ZeeNewsHindi , article in @rusplt",religion
Both countries facing Islamic terrorism.israel helped us many times during war.china PLA also torturing Hong kongers .can u say against China,religion
Muslims who act like Erdogan can never do anything wrong are disgusting. Think of your Kurdish brothers and sisters you idiots.,religion
@Ammaawah @jm111t All you are doing with your verses is proving sexism in Islam.,religion
"@donnabrazile you need to really get right with God and stop lying, be the true Christian woman you have so often espoused and tell the truth... NOTHING IS WORTH LOSING YOUR SOUL OVER DONNA... WALK AWAY ... you will be protected ...",religion
"Oh look the idiot doesn’t want to miss the opportunity to virtue signal and call for justice.... it’s already happening Illham, not because you called for it either, but because it’s right. What you want it a public lynching or stoning like in Muslim countries... NO",religion
#AskAfridi Why Allah is gay? why prophet cuted the own penis? Why all Muslim are idiots? Why all muslim are brainless? Why Islam is religion of Terriosm? Why you are biggest chutiya on earth? Why pakistan is a terriost nation? Why pakistan is son of India?,religion
Is this your humanity that you call it so called Jihad ? According to it if you die as terrorist you will go to jannat . Abbe chutiye ho kya be .,religion
@yuskan0723 Here is what the scumbag Muslims do with children.  And then they use them for propaganda. http://t.co/JG5MeWh1ur,religion
@LifeInKhilafah Sharia - taking injustice to new heights.  #Islam http://t.co/mnN6nnR8zL,religion
"Look at how the Democrats support their cultural sites, but never say a word when I'm a weekly basis a Church is bombed, Christians are tortured, all in the name of Islam. Wake up Democrats, Radical Islam is going to eat you alive if you let it. #Hypocrisy",religion
"Like all of the protesters of anti CAA who are first order idiots, who does not understand it has got nothing to do with Indian Muslims, you too are an addition to that idiots list. Stupidity peaks when kudrati biryani is served in pandals.",religion
